Problem,Code Input,Prompt 1 Strategy,Prompt 1,Prompt 2 Strategy,Prompt 2,Completed,Processed
Prompt from Code Comments (Python) Write a prompt that could generate the code:,"# This function checks if a number is prime def is_prime(n): if n <= 1: return False for i in range(2, int(n**0.5)+1): if n % i == 0: return False return True",Self-consistency,Write a prompt that could generate the code. Here's the code:,Chain of thought,Write a prompt that could generate the following code. Let's think step-by-step. Here's the code:,0,False
Fixing Factorial Bug (Python) Fix the bug when input is 0:,"def factorial(n): result = 1 for i in range(1, n): result *= i return result",Prompt Chaining,"Prompt 1: Identify the bug in this Python function. Here's the code: 

Prompt 2: Now fix the bug when the input is 0.",Self-consistency,Fix the bug when input is 0. Here's the code:,0,False
Linked List Node Deletion (C) Implement node deletion by value:,"struct Node { int data; struct Node* next; }; void deleteNode(struct Node** head, int key) { // TODO: Implement node deletion }",Chain of thought,Implement node deletion by value. Let's think step-by-step. Here's the code:,Self-consistency,Implement node deletion by value. Here's the code:,0,False
Recursive Function Completion (Python) Complete the recursive function for Fibonacci:,def fibonacci(n): # TODO: Base cases and recursive call pass,Chain of thought,Complete the recursive function for Fibonacci. Let's think step-by-step. Here's the code:,Self-consistency,Complete the recursive function for Fibonacci. Here's the code:,0,False
Constructor Completion (Python) Complete the class constructor:,"class Person: def __init__(self): # TODO: Add name, age, and optional email pass",Zero shot,"Complete the class constructor to initialize the name, age, and optional email attributes. Here's the code:",Few shot,"Example 1:
Input: class Dog: def __init__(self): # TODO: Add breed and age pass
Output: class Dog:
def __init__(self, breed, age):
self.breed = breed
self.age = age
Example 2:
Input: class Car: def __init__(self): # TODO: Add make and year pass
Output: class Car:
def __init__(self, make, year):
self.make = make
self.year = year
Now, complete the class constructor to initialize the name, age, and optional email attributes. Here's the code:",0,False
Binary Search Completion (Java) Complete the binary search implementation:,"public int binarySearch(int[] arr, int target) { int left = 0, right = arr.length - 1; while (left <= right) { int mid = (left + right) / 2; // TODO: Compare and adjust bounds } return -1; }",Chain of thought,Complete the binary search implementation. Let's think step-by-step. Here's the code: ,Zero shot,Complete the binary search implementation. Here's the code:,0,False
Self-Consistency Bug Fixing (C++) Resolve inconsistency between function name and logic:,// Supposed to return true if x is even bool isOdd(int x) { return x % 2 == 0; },Self-consistency,Resolve inconsistency between function name and logic. Here's the code:,Chain of thought,Resolve the inconsistency bewteen function name and logic. Let's think step by step. Here's the code:,0,False
Prompt Chaining: Bug Identification -> Fix (JavaScript) Identify and fix the bug:,function isEven(n) { return n % 2; },Prompt chaining,"Step 1: Identify the bug. Here's the code: 

Step 2: Fix it to return n % 2 === 0.",Chain of thought,Identify and fix the bug in the function. Let's think step by step. Here's the code:,0,False
Summary Decomposition (C++) Decompose the high-level comment/summary into logical steps:,"// Function that validates an input, calculates square, and returns result int process(int x) { if (x < 0) return -1; return x * x; }",Chain of thought,Decompose the high-level comment and summary into logical steps. Let's think step by step. Here's the code: ,Few shot,"Example 1:
Input: Function that adds two numbers and returns the result
int add(int a, int b) {
return a + b;
}
Output: 1. Receive two numbers as input.
2. Add the numbers.
3. Return the result.
Example 2:
Input: Function that checks if a number is even
bool isEven(int x) {
return x % 2 == 0;
}
Output:
1. Receive a number as input.
2. Check if it is divisible by 2.
3. Return true if divisible, false otherwise.
Decompose the high-level comment and summary into logical steps. Here's the code:",0,False
Purpose Inference -> Completion (Python) Complete the function based on intent:,def calculate_average(scores): total = 0 # TODO: Complete to return average pass,Zero shot,Complete the function to return the average of scores. Here's the code:,Chain of thought,Complete the function to return the average of scores. Let's think step by step. Here's the code:,0,False
Full-File Bug Detection and Refactoring (Python) Analyze and refactor this utility script for better readability and correctness:,"# utils.py - Script to parse and summarize numeric CSV files import csv def read_csv(filepath): with open(filepath, 'r') as f: return [row for row in csv.reader(f)] def summarize_column(data, index): values = [float(row[index]) for row in data[1:]] total = sum(values) avg = total / len(values) return total, avg def main(): filepath = 'data.csv' data = read_csv(filepath) total, avg = summarize_column(data, 1) print('Total:', total) print('Average:', avg) if __name__ == '__main__': main()",Prompt chaining,"Step 1: Identify the issues in this python function. Here's the code
Step 2: Refactor the code for better readability and correctness",Self-consistency,Analyze and refactor this utility script for better readability and correctness. Here's the code:,0,False
Code Completion and Robustness Enhancement (Python) Complete this file-processing script to clean lines and count word frequencies correctly:,"# file_processor.py - Incomplete script for processing text files import string def load_file(filepath): with open(filepath, 'r') as f: return f.readlines() def clean_line(line): # TODO: Remove punctuation and make lowercase pass def count_words(lines): word_counts = {} for line in lines: clean = clean_line(line) for word in clean.split(): word_counts[word] = word_counts.get(word, 0) + 1 return word_counts def main(): filepath = 'input.txt' lines = load_file(filepath) counts = count_words(lines) for word, count in sorted(counts.items()): print(f'{word}: {count}') if __name__ == '__main__': main()",Chain of thought,Complete this file-processing script to clean lines and count word frequencies correctly. Let's think step by step. Here's the code:,Self-consistency,Complete this file-processing script to clean lines and count word frequencies correctly. Here's the code:,0,False
